OrderID,Order Date,Customer,Email,Product,Category,Qty,Unit Price,Discount %,Total,Ship Date,State,ZIP,Notes
1001,2025-01-05,Jane Doe, jane.doe@gmail.com ,Laptop,Electronics,1,1199.99,10,1079.99,2025/01/07,CA,94107,delivered
1002,01/06/2025,John Smith,JOHN.SMITH@GMAIL.COM,Mouse,Electronics,2,25.00,0,50,2025-01-08,CA,94107,Delivered
1003,2025-01-06,Acme Corp,orders@acme.com,Desk,Furniture,1,350.00,5,332.5,2025-01-12,NY,10001,late
1004,2025-01-07,Jane Doe,jane.doe@gmail.com,Mouse,Electronics,1,25.00,0,25,2025-01-09,CA,94107,
1005,2025-01-08,Maria Lopez,maria.lopez@outlook.com,Chair,Furniture,2,120.00,10,216,2025-01-10,TX,73301,Returned
1006,2025-01-09,张伟,zhangwei@example.cn,Laptop,Electronics,1,1199.99,0,1199.99,2025-01-11,CA,94107,Delivered
1007,2025-01-10,Jane Doe, jane.doe@gmail.com ,Laptop,Electronics,1,1199.99,10,1079.99,2025-01-13,CA,94107,duplicate order?
1008,2025-01-11,John Smith,john.smith@gmail.com,Desk,Furniture,1,350.00,5,332.50,2025-01-15,NY,10001,Delivered
1009,2025-01-12,Acme Corp,orders@acme.com,Mouse,Electronics,5,25,0,125,2025-01-14,NY,10001,Delivered
1010,2025-01-12,Alice Chen,alice.chen@example.com,Chair,Furniture,1,120.00, ,120,2025-01-16,WA,98101,Delivered
1011,2025-01-13,Bob Lee,bob.lee@example.com,Desk,Furniture,1,350.00,5,332.5,2025-01-17,NY,10001,DELIVERED
1012,2025-01-14,Jane Doe,jane.doe@gmail.com,Mouse,Electronics,3,25.00,0,75,2025-01-16,CA,94107,Delivered
1013,2025-01-15,Maria Lopez,maria.lopez@outlook.com,Chair,Furniture,1,120.00,10,108,2025-01-20,TX,73301,delivered
1014,2025-01-16,John Smith,john.smith@gmail.com,Laptop,Electronics,1,1,199.99,10,1079.99,2025-01-18,CA,94107
1015,2025-01-17,Acme Corp,orders@acme.com,Desk,Furniture,2,350.00,5,665,2025-01-22,NY,10001,Delivered
1016,2025-01-18,Alice Chen,alice.chen@example.com,Mouse,Electronics,1,25.00,0,25,2025-01-20,WA,98101,Delivered
1017,2025-01-19,Jane Doe,jane.doe@gmail.com,Chair,Furniture,1,120.00,10,108,2025-01-21,CA,94107,delivered
1018,2025-01-19,John Smith,john.smith@gmail.com,Mouse,Electronics,2,25.00,0,50,2025-01-21,CA,94107,Delivered
1019,2025-01-20,Acme Corp,orders@acme.com,Laptop,Electronics,1,1199.99,0,1199.99,2025-01-25,NY,10001,Delivered
1020,2025-01-21,Maria Lopez,maria.lopez@outlook.com,Desk,Furniture,1,350.00,5,332.5,2025-01-25,TX,73301,Delivered
